image_name,operation,mode,execution_time_ms,image_width,image_height,timestamp
test9(2560x1440)-fotor,sharpen,sequential,2206.840,2560,1440,2025-07-29_21-45-09
test9(2560x1440)-fotor,sharpen,distributed,2039.161,2560,1440,2025-07-29_21-45-09
test10(3840-2160),edge_detection,sequential,9946.115,3876,3999,2025-07-29_21-48-21
test10(3840-2160),edge_detection,multithreaded,4913.392,3876,3999,2025-07-29_21-48-21
test10(3840-2160),edge_detection,distributed,5065.585,3876,3999,2025-07-29_21-48-21
test10(3840-2160),blur,sequential,9850.387,3876,3999,2025-07-29_21-48-21
test10(3840-2160),blur,multithreaded,5039.168,3876,3999,2025-07-29_21-48-21
test10(3840-2160),blur,distributed,5674.341,3876,3999,2025-07-29_21-48-21
test10(3840-2160),sharpen,sequential,9476.299,3876,3999,2025-07-29_21-48-21
test10(3840-2160),sharpen,multithreaded,5795.157,3876,3999,2025-07-29_21-48-21
test10(3840-2160),sharpen,distributed,5811.350,3876,3999,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,edge_detection,sequential,136.542,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,edge_detection,multithreaded,103.388,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,edge_detection,distributed,271.464,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,blur,sequential,55.599,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,blur,multithreaded,89.147,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,blur,distributed,389.134,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,sharpen,sequential,52.300,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,sharpen,multithreaded,56.949,100,100,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,sharpen,distributed,274.306,100,100,2025-07-29_21-48-21
